np,distance,SEQ,dir.hor,dir.ver,id
77818016,12.7253581,0.004914381,0,0,var1
71306680,12.77548809,0.004911884,0,0,var1
79155464,12.8231166,0.004912843,0,0,var1
73395410,12.87822494,0.004912505,0,0,var1
79276760,12.92785228,0.004915498,0,0,var1
73974010,12.97708827,0.004912562,0,0,var1
64324900,13.02395038,0.004908784,0,0,var1
82583556,13.07269225,0.004912663,0,0,var1
76556214,13.12195979,0.004910439,0,0,var1
81948476,13.1766667,0.004909934,0,0,var1
70611458,13.22640306,0.004908335,0,0,var1
83922862,13.27521123,0.004909097,0,0,var1
66710226,13.32483606,0.004906417,0,0,var1
78080360,13.37419187,0.004904071,0,0,var1
85154050,13.42299914,0.00490875,0,0,var1
74149346,13.47410687,0.004901768,0,0,var1
86653350,13.52871198,0.004904219,0,0,var1
73560128,13.57484314,0.00490314,0,0,var1
79940560,13.62692708,0.004901676,0,0,var1
77118894,13.67557548,0.004901672,0,0,var1
82818812,13.72707476,0.004901652,0,0,var1
75300580,13.77539975,0.00489902,0,0,var1
69828776,13.82463305,0.004899112,0,0,var1
93822852,13.87251771,0.004902037,0,0,var1
75568208,13.92363992,0.004898797,0,0,var1
82171100,13.97666571,0.004900818,0,0,var1
82679012,14.02454212,0.00489844,0,0,var1
79261676,14.07542269,0.004902474,0,0,var1
80099628,14.12454433,0.004899331,0,0,var1
82240760,14.17628583,0.004901269,0,0,var1
80053466,14.22142694,0.004899854,0,0,var1
77517648,14.27426895,0.004901553,0,0,var1
91722292,14.32437417,0.004901786,0,0,var1
83236858,14.37533261,0.004901771,0,0,var1
77089306,14.42605371,0.004903806,0,0,var1
84826826,14.47300078,0.00490346,0,0,var1
82994376,14.52366335,0.004903987,0,0,var1
87207312,14.5745384,0.004907271,0,0,var1
76765410,14.62640887,0.004907096,0,0,var1
92483270,14.67260689,0.004907286,0,0,var1
75150760,14.72476598,0.00490795,0,0,var1
94859446,14.77609324,0.004909616,0,0,var1
83322180,14.82608032,0.00490985,0,0,var1
81059690,14.87446996,0.004912119,0,0,var1
85040748,14.92534888,0.004912013,0,0,var1
80416210,14.97132054,0.004910594,0,0,var1
